,param_initialization,qaoa_variant,optimizer,depth,graph_size,graph_name,time_elapsed,quantum_func_evals,obj_func_evolution,quantum_solution,quantum_obj_value,classic_solution,classic_value
0,uniform,vanilla,True,3,5,DFw,481.59088587760925,47,"[array(-0.02952918), array(-0.41906811), array(-0.1536634), array(-0.15527085), array(-0.12443166), array(-0.39733695), array(-0.32429337), array(-0.07324088), array(-0.28671125), array(-0.42650155), array(-0.44226366), array(-0.31790277), array(-0.42975752), array(-0.47157896), array(-0.39215072), array(-0.41523908), array(-0.41597022), array(-0.43910682), array(-0.47010402), array(-0.52805607), array(-0.55370412), array(-0.64147561), array(-0.59839221), array(-0.62620879), array(-0.57236786), array(-0.53918134), array(-0.5415839), array(-0.55179815), array(-0.55280094), array(-0.58903342), array(-0.59058833), array(-0.57884404), array(-0.62687707), array(-0.55870473), array(-0.58099098), array(-0.53121299), array(-0.61952978), array(-0.51421292), array(-0.532617), array(-0.57826685), array(-0.54701994), array(-0.62504056), array(-0.52841245), array(-0.59559762), array(-0.61113434), array(-0.5648172), array(-0.57765461)]","[0, 0, 0, 1, 1]",3.3806223225650878,"[1.0, 1.0, 1.0, 0, 0]",3.3806223225650878
1,uniform,vanilla,True,3,5,DUw,516.5752685070038,51,"[array(-0.23465346), array(-0.27979056), array(-0.36668703), array(-0.11330871), array(-0.24094344), array(-0.28479281), array(-0.20238103), array(0.21043194), array(-0.08332054), array(-0.34594712), array(-0.42155409), array(-0.42997259), array(-0.30730894), array(-0.23246082), array(-0.30121277), array(-0.48802135), array(-0.53050572), array(-0.54349601), array(-0.56891901), array(-0.4874302), array(-0.50107881), array(-0.57802946), array(-0.47062821), array(-0.28932566), array(-0.57759088), array(-0.54111335), array(-0.55692118), array(-0.54623065), array(-0.54473764), array(-0.60171565), array(-0.54294621), array(-0.54695123), array(-0.58521048), array(-0.55441159), array(-0.5512297), array(-0.5857412), array(-0.59529816), array(-0.53149045), array(-0.61362649), array(-0.56486705), array(-0.53139487), array(-0.57995143), array(-0.55556627), array(-0.59186745), array(-0.55056471), array(-0.53484858), array(-0.57036477), array(-0.52574073), array(-0.5755027), array(-0.51358622), array(-0.56546666)]","[1, 1, 0, 0, 0]",2.854180201430194,"[1.0, 1.0, 0, 0, 0]",2.8541802014301934
2,uniform,vanilla,True,3,5,DV{,402.8571901321411,39,"[array(0.06990723), array(-0.01771414), array(0.31647825), array(-0.16140855), array(-0.09478124), array(-0.11965042), array(-0.12703623), array(-0.13275316), array(-0.0100067), array(-0.07865144), array(-0.3495697), array(-0.36023399), array(-0.36757506), array(-0.31019644), array(-0.42446795), array(-0.44013825), array(-0.43813467), array(-0.41296998), array(-0.42503452), array(-0.43314498), array(-0.41925513), array(-0.40089542), array(-0.46353596), array(-0.41747543), array(-0.40473445), array(-0.4064827), array(-0.4300542), array(-0.43540849), array(-0.38771134), array(-0.38846038), array(-0.44733057), array(-0.44371623), array(-0.41510122), array(-0.45008613), array(-0.42769507), array(-0.43977185), array(-0.40102128), array(-0.40941801), array(-0.42813038)]","[0, 0, 1, 1, 1]",2.1698107728157328,"[1.0, 1.0, 0, 0, 0]",2.1698107728157328
3,uniform,vanilla,True,3,5,DUW,399.28319096565247,39,"[array(0.42055118), array(0.46511631), array(-0.20633773), array(-0.05918767), array(0.30138886), array(0.01133548), array(-0.14677277), array(-0.13010692), array(-0.40076258), array(-0.37407042), array(-0.46131828), array(-0.19994836), array(-0.37856633), array(-0.60030666), array(-0.57662471), array(-0.41161205), array(-0.58777875), array(-0.52544794), array(-0.54408683), array(-0.54934053), array(-0.59584247), array(-0.57243025), array(-0.5794035), array(-0.56294183), array(-0.53804596), array(-0.56273463), array(-0.60247578), array(-0.58090595), array(-0.54369822), array(-0.56619227), array(-0.58141977), array(-0.59005285), array(-0.5803998), array(-0.57424939), array(-0.57154102), array(-0.60550994), array(-0.55998107), array(-0.58637252), array(-0.58128362)]","[0, 0, 1, 1, 0]",2.389642136754921,"[1.0, 1.0, 0, 0, 1.0]",2.389642136754921
4,uniform,vanilla,True,3,5,DC{,459.3768546581268,46,"[array(-0.06051487), array(-0.23290703), array(-0.0086292), array(-0.39286646), array(-0.46474678), array(0.01222173), array(-0.36859225), array(-0.04092193), array(-0.48490437), array(-0.44573865), array(-0.4946772), array(-0.43063257), array(-0.43124253), array(-0.43264461), array(-0.45590301), array(-0.50509721), array(-0.49621029), array(-0.41856878), array(-0.49468439), array(-0.48121832), array(-0.50069128), array(-0.50379349), array(-0.50153846), array(-0.52269479), array(-0.52422091), array(-0.48444207), array(-0.50297514), array(-0.51346769), array(-0.53971985), array(-0.45260858), array(-0.54519864), array(-0.56199062), array(-0.50187193), array(-0.5045858), array(-0.51577831), array(-0.51654304), array(-0.47331798), array(-0.56581022), array(-0.48205021), array(-0.50112322), array(-0.52866056), array(-0.46416162), array(-0.50568293), array(-0.4835314), array(-0.53940342), array(-0.53214683)]","[1, 1, 1, 1, 0]",3.376899069420308,"[1.0, 1.0, 1.0, 1.0, 0]",3.376899069420308
5,uniform,vanilla,True,3,5,DCw,331.7734968662262,32,"[array(-0.26208675), array(-0.0594539), array(0.07365412), array(0.01327853), array(-0.16846783), array(-0.07420215), array(-0.15237781), array(0.04406342), array(-0.04346523), array(-0.21620233), array(-0.2246346), array(-0.20909114), array(-0.24873539), array(-0.23297523), array(-0.19146577), array(-0.2098162), array(-0.24858462), array(-0.2156253), array(-0.25620069), array(-0.21610127), array(-0.23548671), array(-0.21862309), array(-0.24810513), array(-0.23506375), array(-0.22598376), array(-0.18629612), array(-0.22449467), array(-0.26551308), array(-0.26188542), array(-0.20902086), array(-0.2274557), array(-0.24380451)]","[0, 0, 0, 0, 1]",2.1078795800966,"[0, 0, 0, 1.0, 1.0]",2.6276092605119445
6,uniform,vanilla,True,3,5,D?{,432.2726821899414,43,"[array(0.31822111), array(0.02244072), array(0.09141396), array(-0.23572931), array(-0.26600542), array(-0.29852097), array(-0.26030016), array(-0.08815897), array(-0.22703141), array(-0.37153792), array(-0.40339388), array(-0.34900042), array(-0.36154998), array(-0.38641944), array(-0.35206004), array(-0.44406406), array(-0.27390324), array(-0.43145156), array(-0.46011803), array(-0.4835458), array(-0.48093231), array(-0.45326399), array(-0.47064191), array(-0.47390841), array(-0.51986548), array(-0.46408971), array(-0.5076899), array(-0.4977094), array(-0.47329857), array(-0.462124), array(-0.48703491), array(-0.48763202), array(-0.45601504), array(-0.50226818), array(-0.45261684), array(-0.47328197), array(-0.51290443), array(-0.49915393), array(-0.47358439), array(-0.46788155), array(-0.47824035), array(-0.48614948), array(-0.49122941)]","[0, 0, 0, 0, 1]",1.796525413204832,"[1.0, 1.0, 1.0, 1.0, 0]",1.796525413204832
7,uniform,vanilla,True,3,5,DU{,451.6749858856201,45,"[array(0.08165909), array(0.13491765), array(0.07471841), array(0.24892686), array(-0.0467968), array(0.01461075), array(0.00640867), array(0.01717875), array(0.07345844), array(-0.11613773), array(-0.09659946), array(-0.01769224), array(-0.09761711), array(-0.12793565), array(-0.21264294), array(-0.2160601), array(-0.19120826), array(-0.18022436), array(-0.24246425), array(-0.25615492), array(-0.22857516), array(-0.21702583), array(-0.27007204), array(-0.23592908), array(-0.24862086), array(-0.21655385), array(-0.26869488), array(-0.22766856), array(-0.27615737), array(-0.26367058), array(-0.28155326), array(-0.22759012), array(-0.2449454), array(-0.23704911), array(-0.29318796), array(-0.25088144), array(-0.21754217), array(-0.22638129), array(-0.2381727), array(-0.22228913), array(-0.25794977), array(-0.23757626), array(-0.28007894), array(-0.22400073), array(-0.23433894)]","[1, 1, 0, 1, 0]",2.538306318727429,"[0, 0, 1.0, 1.0, 0]",3.2770562504535663
8,uniform,vanilla,True,3,5,DF{,346.8106441497803,34,"[array(0.05221768), array(-0.05513144), array(0.13006065), array(-0.16428727), array(-0.16541977), array(0.01428371), array(0.02021658), array(-0.13430394), array(0.06105307), array(-0.15976245), array(-0.12782452), array(-0.1163125), array(-0.04476064), array(-0.18066626), array(-0.16701665), array(-0.13890252), array(-0.11711039), array(-0.17886494), array(-0.10481893), array(-0.12918471), array(-0.13644715), array(-0.09610351), array(-0.16565144), array(-0.14131345), array(-0.16702841), array(-0.16426197), array(-0.16656861), array(-0.15815866), array(-0.13003126), array(-0.15879752), array(-0.15660758), array(-0.11384981), array(-0.11268842), array(-0.14980973)]","[1, 0, 0, 1, 1]",2.449695118175641,"[1.0, 1.0, 1.0, 0, 0]",3.6259733568120702
9,uniform,vanilla,True,3,5,DEw,402.8043487071991,40,"[array(-0.21853497), array(-0.02946947), array(-0.06615658), array(-0.00870575), array(-0.2017618), array(-0.21631137), array(-0.14826425), array(0.10168953), array(-0.15535628), array(-0.25001069), array(-0.18950954), array(-0.16886362), array(-0.34434), array(-0.40318365), array(-0.46794668), array(-0.58417123), array(-0.56201617), array(-0.49689526), array(-0.64049399), array(-0.67559617), array(-0.55005484), array(-0.57208242), array(-0.66146), array(-0.60400037), array(-0.56581124), array(-0.63247059), array(-0.62209312), array(-0.56482542), array(-0.60647282), array(-0.61355216), array(-0.60604411), array(-0.63036351), array(-0.63151511), array(-0.64483767), array(-0.61383066), array(-0.61016171), array(-0.60841197), array(-0.58585204), array(-0.63012822), array(-0.60864329)]","[1, 1, 1, 0, 0]",2.79081227951738,"[1.0, 1.0, 1.0, 0, 0]",2.79081227951738
